time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2007-11-29T19:00:20.420Z,14.944,-61.274,156,7.4,mwb,663,13.4,,0.74,pde,pde20071129190020420_156,2014-03-18T10:54:51.063Z,"Martinique region, Windward Islands",earthquake
2007-11-14T15:40:53.000Z,-22.247,-69.89,40,7.7,,,,,,atlas,atlas20071114154053,2014-04-09T16:05:19.220Z,"Antofagasta, Chile",earthquake
2007-11-14T15:40:50.530Z,-22.247,-69.89,40,7.7,mwc,610,22.4,,1.11,pde,pde20071114154050530_40,2014-03-18T10:50:40.832Z,"Antofagasta, Chile",earthquake
2007-10-31T03:30:15.960Z,18.9,145.388,207,7.2,mwb,461,19.4,,1.09,pde,pde20071031033015960_207,2014-08-08T04:28:51.162Z,"Pagan region, Northern Mariana Islands",earthquake
2007-09-30T05:23:34.000Z,-49.29,164.09,10,7.4,mw,335,,,,centennial,centennial20070930052334,2014-08-08T23:01:02.069Z,"Auckland Islands, New Zealand region",earthquake
2007-09-30T02:08:29.000Z,10.46,145.71,14,7,mw,302,,,,centennial,centennial20070930020829,2014-08-08T03:53:11.655Z,"south of the Mariana Islands",earthquake
2007-09-28T13:38:59.000Z,21.96,142.7,277.5,7.5,mw,463,,,,centennial,centennial20070928133859,2014-08-08T03:55:01.253Z,"Mariana Islands region",earthquake
2007-09-13T03:35:29.000Z,-2.15,99.61,27,7,mw,472,,,,centennial,centennial20070913033529,2014-04-09T15:45:11.734Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-09-12T23:49:03.000Z,-2.66,100.83,37.3,7.9,mw,397,,,,centennial,centennial20070912234903,2014-03-18T10:44:13.733Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-09-12T11:10:26.000Z,-4.44,101.37,34,8.5,mw,325,,,,centennial,centennial20070912111026,2014-04-09T15:44:00.396Z,"southern Sumatra, Indonesia",earthquake
2007-09-02T01:05:18.000Z,-11.62,165.84,35,7.2,mw,271,,,,centennial,centennial20070902010518,2014-03-18T10:42:54.298Z,"Santa Cruz Islands",earthquake
2007-08-15T23:40:57.000Z,-13.38,-76.61,39,8,mw,577,,,,centennial,centennial20070815234057,2014-04-09T15:31:29.176Z,"near the coast of central Peru",earthquake
2007-08-08T17:05:04.920Z,-5.859,107.419,280,7.5,mwc,228,30.7,,1.13,pde,pde20070808170504920_280,2013-03-16T01:36:25.526Z,"Java, Indonesia",earthquake
2007-08-08T17:04:57.000Z,-5.91,107.67,290,7.5,mw,404,,,,centennial,centennial20070808170457,2014-04-09T15:30:07.119Z,"Java, Indonesia",earthquake
2007-08-01T17:08:51.000Z,-15.62,167.71,120,7.2,mw,349,,,,centennial,centennial20070801170851,2014-08-08T07:37:43.353Z,"Vanuatu",earthquake
2007-04-01T20:39:56.000Z,-8.43,157.06,10,8.1,mw,370,,,,centennial,centennial20070401203956,2014-08-08T06:04:00.309Z,"Solomon Islands",earthquake
2007-03-25T00:40:01.000Z,-20.62,169.41,34,7.1,mw,339,,,,centennial,centennial20070325004001,2014-08-08T05:52:23.243Z,"Vanuatu",earthquake
2007-01-21T11:27:44.000Z,1.12,126.34,22,7.5,mw,382,,,,centennial,centennial20070121112744,2014-08-08T07:42:58.627Z,"Molucca Sea",earthquake
2007-01-13T04:23:21.000Z,46.23,154.55,10,8.1,mw,588,,,,centennial,centennial20070113042321,2014-04-09T16:28:18.068Z,"east of the Kuril Islands",earthquake
2006-12-26T12:26:22.000Z,21.78,120.54,22.5,7,mw,675,,,,centennial,centennial20061226122622,2014-04-09T15:11:54.099Z,"Taiwan region",earthquake
2006-11-15T11:14:13.000Z,46.58,153.27,10,8.3,mw,561,,,,centennial,centennial20061115111413,2014-08-08T08:46:55.306Z,"Kuril Islands",earthquake
2006-08-20T03:41:48.000Z,-61.02,-34.45,13,7,mw,291,,,,centennial,centennial20060820034148,2013-07-09T19:08:39.000Z,"Scotia Sea",earthquake
2006-07-17T08:19:27.000Z,-9.32,107.33,24.3,7.7,mw,238,,,,centennial,centennial20060717081927,2014-08-08T02:47:52.023Z,"south of Java, Indonesia",earthquake
2006-05-16T10:39:23.000Z,-31.83,-179.21,152,7.4,mw,588,,,,centennial,centennial20060516103923,2014-04-09T14:44:40.505Z,"Kermadec Islands region",earthquake
2006-05-03T15:26:40.000Z,-20.15,-174.1,55,8,mw,525,,,,centennial,centennial20060503152640,2014-04-09T14:43:06.482Z,"Tonga",earthquake
2006-04-20T23:25:02.000Z,60.94,167.14,22,7.6,mw,561,,,,centennial,centennial20060420232502,2014-03-17T18:38:13.346Z,"near the east coast of Koryakskiy Avtonomnyy Okrug, Russia",earthquake
2006-02-22T22:19:08.000Z,-21.26,33.62,11,7,mw,385,,,,centennial,centennial20060222221908,2014-03-18T10:01:10.537Z,"Mozambique",earthquake
2006-02-22T22:19:07.000Z,-21.209,33.359,11,7,,,,,,atlas,atlas20060222221907,2014-08-08T00:09:05.541Z,"Mozambique",earthquake
