time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-14T16:56:38.020Z,36.4214,-97.341,3.62,2.6,mb_lg,,64,0.353,0.47,us,us10003ydh,2015-11-15T10:31:43.042Z,"15km NNW of Perry, Oklahoma",earthquake
2015-11-14T16:40:46.430Z,36.1993,-97.4915,4.55,2.5,mb_lg,,91,0.403,0.39,us,us10003ydb,2015-11-15T00:43:15.645Z,"20km WSW of Perry, Oklahoma",earthquake
2015-11-14T03:46:49.450Z,37.0148,-97.9301,5,2.7,mb_lg,,73,0.063,0.53,us,us10003yaf,2015-11-16T18:24:34.390Z,"17km SSE of Anthony, Kansas",earthquake
2015-11-14T00:02:41.100Z,36.6472,-97.904,6.13,2.5,ml,,98,,0.69,us,us10003y8b,2015-11-24T03:51:10.098Z,"23km SW of Medford, Oklahoma",earthquake
2015-11-13T20:47:22.500Z,36.6941,-98.2615,6.218,3.1,ml,,106,,0.56,us,us10003y6y,2015-11-20T20:35:22.777Z,"10km SE of Cherokee, Oklahoma",earthquake
2015-11-13T15:16:03.500Z,37.0205,-97.9233333,5.52,2.06,ml,20,80,0.07106,0.06,ismpkansas,ismpkansas70153633,2015-11-13T18:24:38.865Z,"17km SSE of Anthony, Kansas",earthquake
2015-11-13T01:51:17.150Z,36.9157,-97.8272,2.79,3.3,mb_lg,,41,0.069,0.55,us,us10003xz0,2015-11-16T21:14:32.260Z,"14km NW of Medford, Oklahoma",earthquake
2015-11-13T00:59:31.500Z,36.952,-97.8207,0.971,2.5,ml,,36,,0.47,us,us10003xyt,2015-11-24T00:00:40.504Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-13T00:17:29.000Z,36.9398,-97.8396,2.638,2.5,ml,,38,,0.35,us,us10003xyp,2015-11-23T06:50:00.686Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-12T22:23:46.040Z,36.93,-97.8235,3.54,2.7,mb_lg,,35,0.083,0.32,us,us10003xxl,2015-11-23T03:40:10.774Z,"15km NNW of Medford, Oklahoma",earthquake
2015-11-12T22:15:09.100Z,36.9485,-97.833,1.653,2.8,ml,,35,,0.5,us,us10003xxa,2015-11-23T00:48:23.277Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-12T16:11:55.600Z,36.95,-97.8516,3.936,2.7,ml,,37,,0.77,us,us10003xt4,2015-11-13T17:19:22.002Z,"19km NNW of Medford, Oklahoma",earthquake
2015-11-12T10:48:13.330Z,36.963,-97.8503333,7.76,2.64,ml,20,73,0.09047,0.05,ismpkansas,ismpkansas70153198,2015-11-12T18:50:53.911Z,"20km NNW of Medford, Oklahoma",earthquake
2015-11-11T15:29:52.400Z,36.9482,-97.8518,5,2.5,ml,,67,,0.39,us,us10003xlv,2015-11-26T02:52:46.142Z,"18km NW of Medford, Oklahoma",earthquake
2015-11-11T15:28:16.600Z,36.9448,-97.8401,5.172,2.9,ml,,34,,0.39,us,us10003xel,2015-11-26T02:49:06.258Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-11T14:54:55.760Z,35.707,-97.4214,5,3.2,mb_lg,,46,0.093,0.32,us,us10003xeh,2015-11-16T01:25:24.691Z,"7km NE of Edmond, Oklahoma",earthquake
2015-11-11T11:36:30.050Z,37.148,-97.8743333,6.4,2.32,ml,21,44,0.03931,0.04,ismpkansas,ismpkansas70152973,2015-11-11T19:39:15.081Z,"13km E of Anthony, Kansas",earthquake
2015-11-11T10:38:17.550Z,36.6861,-98.2424,5,3.1,mb_lg,,49,0.12,0.61,us,us10003xcp,2015-11-11T12:37:14.581Z,"12km SE of Cherokee, Oklahoma",earthquake
2015-11-11T07:20:22.010Z,36.4979,-98.6761,6.5,2.8,mb_lg,,113,0.287,0.57,us,us10003xas,2015-11-11T15:22:53.737Z,"30km NW of Fairview, Oklahoma",earthquake
2015-11-11T04:16:59.870Z,37.1267,-97.6167,3.72,2,ml,,110,0.01,0.31,us,us10003xa9,2015-11-12T22:26:02.229Z,"10km N of Caldwell, Kansas",earthquake
